mu_SP               ,       22.9    ,
alpha_SP            ,      -10.0    ,
v_SPp               ,       80.2    ,
theta               ,       39.3    ,
k_nh4TR             ,      -3.51    ,
k_no3TR             ,       2.86    ,
k_nh4DDA            ,       5.19    ,
k_no3DDA            ,       3.30    ,
mu_UN               ,       52.1    ,
r_SDOM              ,       282.    ,
r_BAresp_max        ,      -308.    ,
mu_PRT              ,      -289.    ,
r_PRTresp_2         ,      0.476E+04,
g_tr                ,       79.9    ,
g_dda               ,       28.7    ,
wnsvo               ,       43.2    ,
